title,URL,image,datePublished,categories,excerpt
Amazon EC2 Hpc6id Instances Optimized for High Performance Computing,https://aws.amazon.com/blogs/aws/new-amazon-ec2-hpc6id-instances-optimized-for-high-performance-computing/,,29-Nov-22,Amazon EC2 | Announcements | High Performance Computing,"Today, we announce the general availability of Amazon EC2 Hpc6id instances, a new instance type that is purpose-built for tightly coupled HPC workloads. Amazon EC2 Hpc6id instances are powered by 3rd Gen Intel Xeon Scalable processors (Ice Lake) that run at frequencies up to 3.5 GHz, 1024 GiB memory, 15.2 TB local SSD disk, 200 Gbps Elastic Fabric Adapter (EFA) network bandwidth, which is 4x higher than R6i instances. Amazon EC2 Hpc6id instances have the best per-vCPU HPC performance when compared to similar x86-based EC2 instances for data-intensive HPC workloads."
Avoid overspending with AWS Batch using a serverless cost guardian monitoring architecture,https://aws.amazon.com/blogs/hpc/avoid-overspending-with-aws-batch-using-a-serverless-cost-guardian-monitoring-architecture/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/05/CleanShot-2022-10-05-at-09.08.46-1260x628.png,9-Nov-22,AWS Batch | Compute | High Performance Computing,"Pay-as-you-go resources are a compelling but budget-limited researchers performing HPC workloads need help working within the bounds of their grants. In this post, we show how to build a real-time cost guardian for AWS Batch to help enforce those limits."
Bridging research and HPC to tackle grand challenges,https://aws.amazon.com/blogs/hpc/bridging-research-and-hpc-to-tackle-grand-challenges/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/11/08/CleanShot-2022-11-08-at-10.52.15-1256x630.png,8-Nov-22,High Performance Computing | Sustainability | Thought Leadership,"Today we announced the AWS Impact Computing Project at the Harvard Data Science Initiative (HDSI) to identify potential solutions that can improve the lives of humans, other species, and natural ecosystems. Deb Goldfarb describes its goals and our joint vision."
Support for Instance Allocation Flexibility in AWS ParallelCluster 3.3,https://aws.amazon.com/blogs/hpc/support-for-instance-allocation-flexibility-in-aws-parallelcluster-3-3/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/27/CleanShot-2022-10-27-at-10.30.36.png,2-Nov-22,AWS ParallelCluster | Compute | High Performance Computing,"AWS ParallelCluster 3.3.0 now lets you define a list of Amazon EC2 instance types for resourcing a compute queue. This gives you more flexibility to optimize the cost and total time to solution of your HPC jobs, especially when capacity is limited or you’re using Spot Instances."
Hyper Metal: Scaling AWS Instances Up with TidalScale,https://aws.amazon.com/blogs/hpc/hyper-metal-scaling-aws-instances-up-with-tidalscale/,,1-Nov-22,,"In this post we show you how to scale large-memory, high CPU-count single system-image environments on AWS with HyperMetal-powered instances by TidalScale."
How AWS Batch developed support for Amazon Elastic Kubernetes Service,https://aws.amazon.com/blogs/hpc/how-aws-batch-developed-support-for-amazon-elastic-kubernetes-service/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/21/CleanShot-2022-10-21-at-15.36.47.png,25-Oct-22,Amazon Elastic Kubernetes Service | AWS Batch | High Performance Computing | Thought Leadership,"Today, we discuss AWS batch on Amazon EKS, and the initial motivation and design choices the team made when we developed the service, and some of the challenges to overcome."
Minimize HPC compute costs with all-or-nothing instance launching,https://aws.amazon.com/blogs/hpc/minimize-hpc-compute-costs-with-all-or-nothing-instance-launching/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/09/28/CleanShot-2022-09-28-at-13.13.27-1260x630.png,18-Oct-22,AWS ParallelCluster | High Performance Computing,"In this post, we highlight a little-known configuration option for Slurm on @awscloud ParallelCluster that can reduce costs and increase your iteration speed by preventing idle batch instances from launching when EC2 capacity is limited."
BioContainers are now available in Amazon ECR Public Gallery,https://aws.amazon.com/blogs/hpc/biocontainers-are-now-available-in-amazon-ecr-public-gallery/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/12/hpc-150-header.png,12-Oct-22,Announcements | AWS Batch | Compute | High Performance Computing | Life Sciences,"Today we are excited to announce that all 9000+ applications provided by the BioContainers community are available within ECR Public Gallery! You don’t need an AWS account to access these images, but having one allows many more pulls to the internet, and unmetered usage within AWS. If you perform any sort of bioinformatics analysis on AWS, you should check it out!"
Optimize Protein Folding Costs with OpenFold on AWS Batch,https://aws.amazon.com/blogs/hpc/optimize-protein-folding-costs-with-openfold-on-aws-batch/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/10/03/HPCBlog-159-header.png,4-Oct-22,AWS Batch | High Performance Computing | Life Sciences,"In this post, we describe how to orchestrate protein folding jobs on AWS Batch. We also compare the performance of OpenFold and AlphaFold on a set of public targets. Finally, we will discuss how to optimize your protein folding costs."
Getting the Best Price Performance for Numerical Weather Prediction Workloads on AWS,https://aws.amazon.com/blogs/hpc/best-price-performance-for-nwp-on-aws/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/09/19/hpcblog-131-featured-img.png,27-Sep-22,Best Practices | High Performance Computing,"In this post, we will provide an overview of Numerical Weather Prediction (NWP) workloads, and the AWS HPC-optimized services for it. We’ll test three popular NWP codes: WRF, MPAS, and FV3GFS."
Rearchitecting AWS Batch managed services to leverage AWS Fargate,https://aws.amazon.com/blogs/hpc/rearchitecting-aws-batch-managed-services-to-leverage-aws-fargate/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/09/20/hpcblog-144-featured.png,21-Sep-22,AWS Batch | High Performance Computing | Thought Leadership,"AWS service teams continuously improve the underlying infrastructure and operations of managed services, and AWS Batch is no exception. The AWS Batch team recently moved most of their job scheduler fleet to a serverless infrastructure model leveraging AWS Fargate. I had a chance to sit with Devendra Chavan, Senior Software Development Engineer on the AWS Batch team, to discuss the move to AWS Fargate and its impact on the Batch managed scheduler service component."
Easing your migration from SGE to Slurm in AWS ParallelCluster 3,https://aws.amazon.com/blogs/hpc/easing-your-migration-from-sge-to-slurm-in-aws-parallelcluster-3/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/06/29/CleanShot-2022-06-29-at-14.58.17.png,14-Sep-22,AWS ParallelCluster | High Performance Computing,"This post will help you understand the tools available to ease the stress of migrating your cluster (and your users) from SGE to Slurm, which is necessary since the HPC community is no longer supporting SGE’s open-source codebase."
A serverless architecture for high performance financial modelling,https://aws.amazon.com/blogs/hpc/a-serverless-architecture-for-high-performance-financial-modelling/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/08/03/CleanShot-2022-08-03-at-12.43.36-1260x628.png,6-Sep-22,Financial Services | High Performance Computing,"Understanding deal and portfolio risk and capital requirements is a computationally expensive process that requires the execution of multiple financial forecasting models every day and in often in real time. This post describes how it works at RenaissanceRe, one of the world’s leading reinsurance companies."
Simulating 44-Qubit quantum circuits using AWS ParallelCluster,https://aws.amazon.com/blogs/hpc/simulating-44-qubit-quantum-circuits-using-aws-parallelcluster/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/08/03/CleanShot-2022-08-03-at-12.25.24-1260x627.png,30-Aug-22,AWS Center for Quantum Computing | AWS ParallelCluster | High Performance Computing | Quantum Technologies,"A key part of the development of quantum hardware and quantum algorithms is simulation using existing classical architectures and HPC techniques. In this blog post, we describe how to perform large-scale quantum circuits simulations using AWS ParallelCluster with QuEST, the Quantum Exact Simulation Toolkit. We demonstrate a simple and rapid deployment of computational resources up to 4,096 compute instances to simulate random quantum circuits with up to 44 qubits. We were able to allocate as many as 4096 EC2 instances of c5.18xlarge to simulate a non-trivial 44 qubit quantum circuit in fewer than 3.5 hours."
Accelerating Genomics Pipelines Using Intel’s Open Omics Acceleration Framework on AWS,https://aws.amazon.com/blogs/hpc/accelerating-genomics-pipelines-using-intel-open-omics-on-aws/,,23-Aug-22,Best Practices | Customer Solutions | High Performance Computing | Thought Leadership,"In this blog, we showcase the first version of Open Omics and benchmark three applications that are used in processing NGS data – sequence alignment tools BWA-MEM, minimap2, and single cell ATAC-Seq on Xeon-based Amazon Elastic Compute Cloud (Amazon EC2) Instances."
Building a Scalable Predictive Modeling Framework in AWS – Part 3,https://aws.amazon.com/blogs/hpc/building-a-scalable-predictive-modeling-framework-in-aws-part-3/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/28/hpc-132-p3-hreader.png,11-Aug-22,Best Practices | High Performance Computing,"In this final part of this three-part blog series on building predictive models at scale in AWS, we will use the synthetic dataset and the models generated in the previous post to showcase the model updating and sensitivity analysis capabilities of the aws-do-pm framework."
Building a Scalable Predictive Modeling Framework in AWS – Part 2,https://aws.amazon.com/blogs/hpc/building-a-scalable-predictive-modeling-framework-in-aws-part-2/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/28/hpc-132-p2-hreader.png,10-Aug-22,Best Practices | High Performance Computing | Technical How-to,"In the first part of this three-part blog series, we introduced the aws-do-pm framework for building predictive models at scale in AWS. In this blog, we showcase a sample application for predicting the life of batteries in a fleet of electric vehicles, using the aws-do-pm framework."
Building a Scalable Predictive Modeling Framework in AWS – Part 1,https://aws.amazon.com/blogs/hpc/building-a-scalable-predictive-modeling-framework-in-aws/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/28/hpc-132-p1-hreader.png,9-Aug-22,Best Practices | High Performance Computing,"Predictive models have powered the design and analysis of real-world systems such as jet engines, automobiles, and powerplants for decades. These models are used to provide insights on system performance and to run simulations, at a fraction of the cost compared to experiments with physical hardware. In this first post of three, we described the motivation and general architecture of the open-source aws-do-pm framework project for building predictive models at scale in AWS."
Running large-scale CFD fire simulations on AWS for Amazon.com,https://aws.amazon.com/blogs/hpc/amazon-runs-large-scale-cfd-fire-simulations-on-aws/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/06/hpcblog-87-header.png,3-Aug-22,AWS ParallelCluster | Customer Solutions | High Performance Computing,"In this blog post, we discuss the AWS solution that Amazon’s construction division used to conduct large-scale CFD fire simulations as part of their Fire Strategy solutions to demonstrate safety and fire mitigation strategies. We outline the five key steps taken that resulted in simulation times that were 15-20x faster than previous on-premises architectures, reducing the time to complete from up to twenty-one days to less than one day."
Expanded filesystems support in AWS ParallelCluster 3.2,https://aws.amazon.com/blogs/hpc/expanded-filesystems-support-in-aws-parallelcluster-3-2/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/28/CleanShot-2022-07-28-at-09.45.46-1260x626.png,28-Jul-22,Amazon FSx | Amazon FSx for Lustre | Amazon FSx for NetApp ONTAP | Amazon FSx for OpenZFS | AWS ParallelCluster | High Performance Computing,"AWS ParallelCluster version 3.2 introduces support for two new Amazon FSx filesystem types (NetApp ONTAP and OpenZFS). It also lifts the limit on the number of filesystem mounts you can have on your cluster. We’ll show you how, and help you with the details for getting this going right away."
Slurm-based memory-aware scheduling in AWS ParallelCluster 3.2,https://aws.amazon.com/blogs/hpc/slurm-based-memory-aware-scheduling-in-aws-parallelcluster-3-2/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/28/CleanShot-2022-07-28-at-09.39.30-1260x630.png,28-Jul-22,AWS ParallelCluster | Compute | High Performance Computing,"AWS ParallelCluster version 3.2 now supports memory-aware scheduling in Slurm to give you control over the placement of jobs with specific memory requirements. In this blog post, we’ll show you how it works, and explain why this will be really useful to people with memory-hungry workloads."
Call for participation: RADIUSS Tutorial Series,https://aws.amazon.com/blogs/hpc/call-for-participation-radiuss-tutorial-series/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/22/hpcblog-146-header.png,22-Jul-22,Announcements | High Performance Computing,Lawrence Livermore National Laboratory (LLNL) and AWS are joining forces to provide a training opportunity for emerging HPC tools and application. RADIUSS (Rapid Application Development via an Institutional Universal Software Stack) is a broad suite of open-source software projects originating from LLNL. Together we are hosting a tutorial series to give attendees hands-on experience with these cutting-edge technologies. Find out how to participate in these events in this blog post.
Analyzing Genomic Data using Amazon Genomics CLI and Amazon SageMaker,https://aws.amazon.com/blogs/hpc/analyzing-genomic-data-using-amazon-genomics-cli-and-amazon-sagemaker/,,19-Jul-22,AWS Batch | High Performance Computing,"In this blog post, we demonstrate how to leverage the AWS Genomics Command line and Amazon SageMaker to analyze large-scale exome sequences and derive meaningful insights. We use the bioinformatics workflow manager Nextflow, it’s open source library of pipelines, NF-Core, and AWS Batch."
How Thermo Fisher Scientific Accelerated Cryo-EM using AWS ParallelCluster,https://aws.amazon.com/blogs/hpc/how-thermo-fisher-scientific-accelerated-cryo-em-using-aws-parallelcluster/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/07/12/CleanShot-2022-07-12-at-14.52.54-1260x630.png,12-Jul-22,AWS ParallelCluster | High Performance Computing,"In this blog post, we’ll walk you through the process of building a successful Cryo-EM benchmarking pilot using AWS ParallelCluster, Amazon FSx for Lustre, and cryoSPARC (from Structura Biotechnology) and explain some of our design decisions along the way."
Efficient and cost-effective rendering pipelines with Blender and AWS Batch,https://aws.amazon.com/blogs/hpc/efficient-and-cost-effective-rendering-pipelines-with-blender-and-aws-batch/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/06/17/CleanShot-2022-06-17-at-16.15.49.png,5-Jul-22,AWS Batch | High Performance Computing,"This blog post explains how to run parallel rendering workloads and produce an animation in a cost and time effective way using AWS Batch and AWS Step Functions. AWS Batch manages the rendering jobs on Amazon Elastic Compute Cloud (Amazon EC2), and AWS Step Functions coordinates the dependencies across the individual steps of the rendering workflow. Additionally, Amazon EC2 Spot instances can be used to reduce compute costs by up to 90% compared to On-Demand prices."
Getting Started with NVIDIA Clara Parabricks on AWS Batch using AWS CloudFormation,https://aws.amazon.com/blogs/hpc/getting-started-with-nvidia-parabricks-on-aws-batch-using-aws-cloudformation/,,28-Jun-22,AWS Batch | High Performance Computing,"In this blog post, we’ll show how you can run NVIDIA Parabricks on AWS Batch leveraging AWS CloudFormation templates. Parabricks is a GPU-accelerated tool for secondary genomic analysis. It reduces the runtime of variant calling on a 30x human genome from 30 hours to just 30 minutes, and leverages AWS Batch to provide an interface that scales compute jobs across multiple instances in the cloud."
Understanding the AWS Batch termination process,https://aws.amazon.com/blogs/hpc/understanding-the-aws-batch-termination-process/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/06/16/hpcblog-121-header-v2.png,21-Jun-22,AWS Batch | Best Practices | High Performance Computing,"In this blog post, we help you understand the AWS Batch job termination process and how you may take actions to gracefully terminate a job by capturing SIGTERM signal inside the application. It provides you with an efficient way to exit your Batch jobs. You also get to know about how job timeouts occur, and how the retry operation works with both traditional AWS Batch jobs and array jobs."
Bayesian ML Models at Scale with AWS Batch,https://aws.amazon.com/blogs/hpc/bayesian-ml-models-at-scale-with-aws-batch/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/06/10/hpcblog-124-header.png,14-Jun-22,AWS Batch | Customer Solutions | High Performance Computing,"Ampersand is a data-driven TV advertising technology company that provides aggregated TV audience impression insights and planning on 42 million households, in every media market, across more than 165 networks and apps and in all dayparts (broadcast day segments). The Ampersand Data Science team estimated that building their statistical models would require up to 600,000 physical CPU hours to run, which would not be feasible without using a massively parallel and large-scale architecture in the cloud. AWS Batch enabled Ampersand to compress their time of computation over 500x through massive scaling while optimizing their costs using Amazon EC2 Spot. In this blog post, we will provide an overview of how Ampersand built their TV audience impressions (“impressions”) models at scale on AWS, review the architecture they have been using, and discuss optimizations they conducted to run their workload efficiently on AWS Batch."
Running cost-effective GROMACS simulations using Amazon EC2 Spot Instances with AWS ParallelCluster,https://aws.amazon.com/blogs/hpc/running-gromacs-on-spot-with-checkpointing/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/06/08/hpcblog-69-header.png,9-Jun-22,AWS ParallelCluster | High Performance Computing,"In this blog post, we cover how to run GROMACS – a popular open source designed for simulations of proteins, lipids, and nucleic acids – cost effectively by leveraging EC2 Spot Instances within AWS ParallelCluster. We also show how to checkpoint GROMACS to recover gracefully from possible Spot Instance interruptions."
Introducing the Spack Rolling Binary Cache hosted on AWS,https://aws.amazon.com/blogs/hpc/introducing-the-spack-rolling-binary-cache/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/05/24/hpblog-129-header.png,31-May-22,Announcements | AWS ParallelCluster | High Performance Computing,"Today we’re excited to announce the availability of a new public Spack Binary Cache. In a collaboration, between AWS, E4S, Kitware, and the Lawrence Livermore National Laboratory (LLNL), Spack users now have access to a public build cache hosted on Amazon S3. The use of this Binary Cache will result in up to 20x faster install times for common Spack packages."
Encoding workflow dependencies in AWS Batch,https://aws.amazon.com/blogs/hpc/encoding-workflow-dependencies-in-aws-batch/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/05/11/hpcblog-31-header-1260x630.png,11-May-22,AWS Batch | Best Practices | High Performance Computing,This post covers the different ways you can encode a dependency between basic and array jobs in AWS Batch. We also cover why you may want to encode dependencies outside of Batch altogether using a workflow system like AWS Step Functions or Apache Airflow.
"AWS Batch updates: higher compute utilization, AWS PrivateLink support, and updatable compute environments",https://aws.amazon.com/blogs/hpc/aws-batch-updates-higher-compute-utilization-aws-privatelink-support-and-updatable-compute-environments/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/04/22/hpc-blog-125-header-1260x630.png,25-Apr-22,AWS Batch | High Performance Computing,"In this post, I cover some of the recent updates to AWS Batch, including improvements to job placement, addition of AWS PrivateLink support, and the new capabilities to update your AWS Batch compute environments."
Benchmarking NVIDIA Clara Parabricks Somatic Variant Calling Pipeline on AWS,https://aws.amazon.com/blogs/hpc/benchmarking-nvidia-clara-parabricks-somatic-variant-calling-pipeline-on-aws/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/04/19/hpcblog-114-header-1260x630.png,20-Apr-22,Customer Solutions | High Performance Computing | Life Sciences,"Somatic variants are genetic alterations which are not inherited but acquired during one’s lifespan, for example those that are present in cancer tumors. In this post, we will demonstrate how to perform somatic variant calling from matched tumor and normal genome sequence data, as well as tumor-only whole genome and whole exome datasets using an NVIDIA GPU-accelerated Parabricks pipeline, and compare the results with baseline CPU-based workflows."
AI-based drug discovery with Atomwise and WEKA Data Platform,https://aws.amazon.com/blogs/hpc/ai-based-drug-discovery-with-atomwise-and-weka-data-platform/,,12-Apr-22,Customer Solutions | High Performance Computing,"Drug discovery is an expensive proposition, with a $2.6 billion cost over 10 years and just a 12% success rate. AI promises to significantly improve the success rate by finding small molecule hits for undruggable targets. On the forefront of using AI in drug discovery is Atomwise, with its AtomNet® platform. In this blog, we will lay out the challenges of the drug discovery process, and show how AI/ML startups are solving these challenges using solutions from Atomwise, AWS, and WEKA."
Simcenter STAR-CCM+ price-performance on AWS,https://aws.amazon.com/blogs/hpc/simcenter-star-ccm-price-performance-on-aws/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/03/30/hpcblog-49-fig1.png,5-Apr-22,Amazon EC2 | Customer Solutions | High Performance Computing,"Organizations such as Amazon Prime Air and Joby Aviation use Simcenter STAR-CCM+ for running CFD simulations on AWS so they can reduce product manufacturing cycles and achieve faster times to market. In this post today, we describe the performance and price analysis of running Computational Fluid Dynamics (CFD) simulations using Siemens SimcenterTM STAR-CCM+TM software on AWS HPC clusters."
Data Science workflows at insitro: how redun uses the advanced service features from AWS Batch and AWS Glue,https://aws.amazon.com/blogs/hpc/how-insitro-redun-uses-advanced-aws-features/,https://d2908q01vomqb2.cloudfront.net/e6c3dd630428fd54834172b8fd2735fed9416da4/2022/03/23/hpcblog-116-p2-fig2-831x630.png,31-Mar-22,Artificial Intelligence | AWS Batch | AWS Glue | Customer Solutions | High Performance Computing | Life Sciences,"Matt Rasmussen, VP of Software Engineering at insitro, expands on his first post on redun, insitro’s data science tool for bioinformatics, to describe how redun makes use of advanced AWS features. Specifically, Matt describes how AWS Batch’s Array Jobs is used to support workflows with large fan-out, and how AWS Glue’s DynamicFrame is used to run computationally heterogenous workflows with different back-end needs such as Spark, all in the same workflow definition."
